episode,steps,X,Y,yaw,speed,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-6.5829553575375845,-2.398817048795538,165.71618907666883,0.0,10.0,3.0,14,0.0,False,True,0.242191864451609,1,57.86213677396928,7.199,prepare,0.0
0,2.0,-6.582820704695253,-2.3988450515267075,165.71520253445397,0.0,10.0,3.0,14,1.0,False,True,0.2419544158317038,1,57.86213677396928,7.265,in_progress,0.0
0,3.0,-6.5927148877449255,-2.3946808042760126,165.27480128175958,0.0,-30.0,1.0,0,1.0,False,True,0.2603038024793099,1,57.86213677396928,7.333,in_progress,0.0
0,4.0,-6.611891632462415,-2.3803541547238063,163.34968343483544,0.0,10.0,3.0,14,1.0,False,True,0.298546308989691,1,57.86213677396928,7.39,in_progress,0.0
0,5.0,-6.639581392339751,-2.354662812756575,159.31661450863257,0.0,20.0,2.0,16,1.0,False,True,0.3559081216856682,2,57.86213677396928,7.466,in_progress,0.0
0,6.0,-6.680338289005049,-2.3407598465928863,159.59438328797827,0.17,20.0,1.0,15,1.0,False,True,0.4301027142389391,2,57.86213677396928,7.532,in_progress,0.0
0,7.0,-6.738146438819906,-2.3369613208856284,163.42181124852766,0.36,20.0,3.0,17,1.0,False,True,0.528521924347689,2,57.86213677396928,7.599,in_progress,0.0
0,8.0,-6.815320795018439,-2.343133195247956,169.7613436922096,0.57,-30.0,1.0,0,1.0,False,True,0.6550992561269142,3,57.86213677396928,7.662,in_progress,0.0
0,9.0,-6.883827649318326,-2.3468232353680136,174.34045345725258,0.65,-20.0,2.0,4,1.0,False,True,0.7681853614684834,3,57.86213677396928,7.735,in_progress,0.0
0,10.0,-6.963295541126377,-2.3376826202734957,174.33767106654378,0.8,-20.0,3.0,5,1.0,False,True,0.9051398419368508,3,57.86213677396928,7.807,in_progress,0.0
0,11.0,-7.063018418865831,-2.312222501613733,170.99791185203526,1.33,-20.0,3.0,5,1.0,False,True,1.0830136370409222,4,57.86213677396928,7.868,in_progress,0.0
0,12.0,-7.162079973611967,-2.267620600331912,164.95765741946022,0.94,30.0,1.0,18,1.0,False,True,1.2680064640798827,4,57.86213677396928,7.929,in_progress,0.0
0,13.0,-7.26025392899665,-2.2209075220468573,159.87696389659976,1.11,20.0,2.0,16,1.0,False,True,1.452426795172106,4,57.86213677396928,7.999,in_progress,0.0
0,14.0,-7.348115423394309,-2.190889841101621,160.37734526766303,1.69,20.0,2.0,16,1.0,False,True,1.612414176838428,5,57.86213677396928,8.066,in_progress,0.0
0,15.0,-7.461518811721225,-2.171169729661095,164.47527839318096,1.78,0.0,3.0,11,1.0,False,True,1.810729420290731,5,57.86213677396928,8.128,in_progress,0.0
0,16.0,-7.569387354908636,-2.157065552205333,167.5953257311891,1.55,-20.0,2.0,4,1.0,False,True,1.997197495641728,5,57.86213677396928,8.198,in_progress,0.0
