episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-6.5829553575375845,-2.398817048795538,165.71618907666883,10.0,3.0,14,0.0,False,True,0.24219186445160906,1,57.86213677396928,7.199,prepare,0.0
0,2.0,-6.582820704695253,-2.3988450515267075,165.71520253445397,10.0,3.0,14,1.0,False,True,0.24195441583170382,1,57.86213677396928,7.265,in_progress,0.0
0,3.0,-6.5927148877449255,-2.3946808042760126,165.27480128175958,-30.0,1.0,0,1.0,False,True,0.2603038024793099,1,57.86213677396928,7.333,in_progress,0.0
0,4.0,-6.611891632462415,-2.3803541547238063,163.34968343483544,10.0,3.0,14,1.0,False,True,0.29854630898969103,1,57.86213677396928,7.39,in_progress,0.0
0,5.0,-6.639581392339751,-2.354662812756575,159.31661450863257,20.0,2.0,16,1.0,False,True,0.35590812168566827,2,57.86213677396928,7.466,in_progress,0.0
0,6.0,-6.680338289005049,-2.3407598465928863,159.59438328797827,20.0,1.0,15,1.0,False,True,0.4301027142389391,2,57.86213677396928,7.532,in_progress,0.0
0,7.0,-6.738146438819906,-2.3369613208856284,163.42181124852766,20.0,3.0,17,1.0,False,True,0.528521924347689,2,57.86213677396928,7.599,in_progress,0.0
0,8.0,-6.8153207950184385,-2.343133195247956,169.7613436922096,-30.0,1.0,0,1.0,False,True,0.6550992561269142,3,57.86213677396928,7.662,in_progress,0.0
0,9.0,-6.883827649318326,-2.3468232353680136,174.34045345725258,-20.0,2.0,4,1.0,False,True,0.7681853614684834,3,57.86213677396928,7.735,in_progress,0.0
0,10.0,-6.963295541126377,-2.3376826202734953,174.33767106654378,-20.0,3.0,5,1.0,False,True,0.9051398419368509,3,57.86213677396928,7.807,in_progress,0.0
0,11.0,-7.063018418865831,-2.3122225016137334,170.99791185203526,-20.0,3.0,5,1.0,False,True,1.0830136370409222,4,57.86213677396928,7.868,in_progress,0.0
0,12.0,-7.162079973611967,-2.2676206003319117,164.95765741946022,30.0,1.0,18,1.0,False,True,1.2680064640798827,4,57.86213677396928,7.929,in_progress,0.0
0,13.0,-7.26025392899665,-2.2209075220468573,159.87696389659976,20.0,2.0,16,1.0,False,True,1.452426795172106,4,57.86213677396928,7.9990000000000006,in_progress,0.0
0,14.0,-7.348115423394309,-2.1908898411016215,160.37734526766303,20.0,2.0,16,1.0,False,True,1.6124141768384281,5,57.86213677396928,8.066,in_progress,0.0
0,15.0,-7.461518811721225,-2.171169729661095,164.47527839318096,0.0,3.0,11,1.0,False,True,1.810729420290731,5,57.86213677396928,8.128,in_progress,0.0
0,16.0,-7.569387354908636,-2.1570655522053332,167.5953257311891,-20.0,2.0,4,1.0,False,True,1.9971974956417278,5,57.86213677396928,8.198,in_progress,0.0
0,17.0,-7.706847855203888,-2.126552510090497,167.53169978059304,-20.0,3.0,5,1.0,False,True,2.240353311608031,6,57.86213677396928,8.266,in_progress,0.0
0,18.0,-7.838917182238062,-2.0823306109002626,164.50212223529817,-10.0,2.0,7,1.0,False,True,2.477059579362109,6,57.86213677396928,8.335,in_progress,0.0
0,19.0,-7.973688915750624,-2.02206879029611,160.07748597687268,-20.0,2.0,4,1.0,False,True,2.7321022148367744,7,57.86213677396928,8.394,in_progress,0.0
0,20.0,-8.087233995989683,-1.9625985483930197,156.514323043094,-20.0,2.0,4,1.0,False,True,2.9465215195558185,7,57.86213677396928,8.466,in_progress,0.0
0,21.0,-8.198694044922995,-1.8938329783882117,152.75585637279968,-30.0,2.0,1,1.0,False,True,3.1719834554580357,8,57.86213677396928,8.541,in_progress,0.0
0,22.0,-8.322473874054811,-1.8016827684270875,147.7331871546383,-30.0,1.0,0,1.0,False,True,3.415368717005116,8,57.86213677396928,8.6,in_progress,0.0
0,23.0,-8.409564510229465,-1.724485226747682,143.5639522528965,-30.0,1.0,0,1.0,False,True,3.6108736279653844,8,57.86213677396928,8.666,in_progress,0.0
0,24.0,-8.489747012231126,-1.641230910192589,139.32536917199494,-30.0,2.0,1,1.0,False,True,3.808143681223444,9,57.86213677396928,8.735,in_progress,0.0
0,25.0,-8.567472676402843,-1.541176204124682,134.07318001420396,-30.0,2.0,1,0.5,False,True,3.9608207952594863,9,57.86213677396928,8.804,in_progress,0.0
0,26.0,-8.62415053739754,-1.4380882563811204,127.42044442612942,-30.0,1.0,0,0.5,False,True,4.158798787116296,10,57.86213677396928,8.867,in_progress,0.0
0,27.0,-8.666357488739003,-1.3396542814859886,121.00294604333376,-30.0,1.0,0,0.5,False,True,4.3422863515579895,10,57.86213677396928,8.937,in_progress,0.0
0,28.0,-8.701566414597716,-1.2376559342266968,115.07498691634848,-30.0,1.0,0,0.5,False,True,4.443083660447999,10,57.86213677396928,8.995000000000001,in_progress,0.0
0,29.0,-8.722650303384292,-1.1604962194370299,112.0124133459126,-30.0,3.0,2,0.5,False,True,4.576429859617849,10,57.86213677396928,9.066,in_progress,0.0
0,30.0,-8.73952531559443,-1.0706642187725237,108.11591101411314,-30.0,1.0,0,0.5,False,True,4.731677834695423,11,57.86213677396928,9.126,in_progress,0.0
0,31.0,-8.74075898229102,-0.9844272110032773,102.2667598425558,-10.0,1.0,6,0.5,False,True,4.880716309075435,11,57.86213677396928,9.192,in_progress,0.0
0,32.0,-8.7354899289107,-0.905423772623239,97.42523475749829,-30.0,3.0,2,0.5,False,True,4.9444290796255075,11,57.86213677396928,9.261,in_progress,0.0
